"Date","Time","Open","High","Low","Close","Vol","OI","FastAvg","SlowAvg","SlowK","SlowD","OverBot","OverSld"
10/31/2016,22:00,113.65,114.23,113.20,113.54,26419398,0,0.00,0.00,0.00,0.00,0.00,0.00
11/01/2016,22:00,113.46,113.77,110.53,111.49,43825812,0,0.00,0.00,0.00,0.00,0.00,0.00
11/02/2016,22:00,111.40,112.35,111.23,111.59,28331709,0,0.00,0.00,0.00,0.00,0.00,0.00
11/03/2016,22:00,110.98,111.46,109.55,109.83,26932602,0,0.00,0.00,0.00,0.00,0.00,0.00
11/04/2016,22:00,108.53,110.25,108.11,108.84,30836997,0,0.00,0.00,0.00,0.00,0.00,0.00
11/07/2016,22:00,110.08,110.51,109.46,110.41,32560000,0,0.00,0.00,0.00,0.00,0.00,0.00
11/08/2016,22:00,110.31,111.72,109.70,111.06,24254179,0,0.00,0.00,0.00,0.00,0.00,0.00
11/09/2016,22:00,109.88,111.32,108.05,110.88,59176361,0,0.00,0.00,0.00,0.00,0.00,0.00
11/10/2016,22:00,111.09,111.09,105.83,107.79,57134541,0,0.00,0.00,0.00,0.00,0.00,0.00
11/11/2016,22:00,107.12,108.87,106.55,108.43,34143898,0,0.00,0.00,0.00,0.00,0.00,0.00
11/14/2016,22:00,107.71,107.81,104.08,105.71,51175504,0,0.00,0.00,0.00,0.00,0.00,0.00
11/15/2016,22:00,106.57,107.68,106.16,107.11,32264510,0,0.00,0.00,0.00,0.00,0.00,0.00
11/16/2016,22:00,106.85,110.23,106.60,109.99,58840522,0,0.00,0.00,0.00,0.00,0.00,0.00
11/17/2016,22:00,109.81,110.35,108.83,109.95,27632003,0,0.00,0.00,0.00,0.00,0.00,0.00
11/18/2016,22:00,109.72,110.54,109.66,110.06,28428917,0,0.00,0.00,61.71,61.71,80.00,20.00
11/21/2016,22:00,110.12,111.99,110.01,111.73,29264571,0,0.00,0.00,70.92,64.78,80.00,20.00
11/22/2016,22:00,111.95,112.42,111.40,111.80,25965534,0,0.00,0.00,81.18,71.27,80.00,20.00
11/23/2016,22:00,111.36,111.51,110.33,111.23,27426394,0,0.00,0.00,90.26,80.79,80.00,20.00
11/25/2016,22:00,111.13,111.87,110.95,111.79,11475922,0,0.00,0.00,90.25,87.23,80.00,20.00
11/28/2016,22:00,111.43,112.47,111.39,111.57,27193983,0,0.00,0.00,89.15,89.89,80.00,20.00
11/29/2016,22:00,110.78,112.03,110.07,111.46,28528750,0,111.57,110.14,89.89,89.76,80.00,20.00
11/30/2016,22:00,111.60,112.20,110.27,110.52,36162258,0,111.31,110.09,84.66,87.90,80.00,20.00
12/01/2016,22:00,110.37,110.94,109.03,109.49,37086862,0,110.97,109.98,76.40,83.65,80.00,20.00
12/02/2016,22:00,109.20,110.09,108.85,109.90,26527997,0,110.59,109.99,70.20,77.09,80.00,20.00
12/05/2016,22:00,110.00,110.03,108.25,109.11,34324540,0,110.10,110.00,61.41,69.34,80.00,20.00
12/06/2016,22:00,109.50,110.36,109.19,109.95,26195462,0,109.79,109.98,58.92,63.51,80.00,20.00
12/07/2016,22:00,109.26,111.19,109.16,111.03,29998719,0,109.90,109.97,55.37,58.57,80.00,20.00
12/08/2016,22:00,110.86,112.43,110.60,112.12,27068316,0,110.42,110.04,69.88,61.39,80.00,20.00
12/09/2016,22:00,112.31,114.70,112.31,113.95,34402627,0,111.23,110.35,82.94,69.40,80.00,20.00
12/12/2016,22:00,113.29,113.33,112.49,113.30,26374377,0,112.07,110.59,85.40,79.41,80.00,20.00
12/13/2016,22:00,113.84,115.92,113.75,115.19,43733811,0,113.12,111.06,86.00,84.78,80.00,20.00
12/14/2016,22:00,115.04,116.20,114.98,115.19,34031834,0,113.95,111.47,85.77,85.72,80.00,20.00
12/15/2016,22:00,115.38,116.73,115.23,115.82,46524544,0,114.69,111.76,89.00,86.93,80.00,20.00
12/16/2016,22:00,116.47,116.50,115.65,115.97,44351134,0,115.09,112.06,89.24,88.01,80.00,20.00
12/19/2016,22:00,115.80,117.38,115.75,116.64,27779423,0,115.76,112.39,90.76,89.67,80.00,20.00
12/20/2016,22:00,116.74,117.50,116.68,116.95,21424965,0,116.11,112.65,92.37,90.79,80.00,20.00
